,Country,Literacy_Rate,Buddhists,Christians,Folk_Religions,Hindus,Jews,Muslims,Other_Religions,Unaffiliated,alcohol_rate_2000,alcohol_rate_2005,alcohol_rate_2010,alcohol_rate_2015,pg_2000,pg_2005,pg_2010,pg_2015,gdp_2000,gpd_2005,gpd_2010,gpd_2015,gdp_per_capita_2000,gdp_per_capita_2005,gdp_per_capita_2010,gdp_per_capita_2015,mortality_rate_2000,mortality_rate_2005,mortality_rate_2010,mortality_rate_2015,Longitude,Latitude,mortality_rate,mortality_state
73,Lesotho,89.6,1.0,96.8,1.0,1.0,1.0,1.0,1.0,3.1,7.31,5.37,6.5,4.8,0.65,-0.49,0.27,0.76,887295267.88,1682350934.85,2234731973.55,2359759799.04,436.49,842.81,1119.84,1146.06,507.0,637.1,477.8,498.3,28.3350193,-29.6039267,49.83,3
74,Liberia,60.8,1.0,85.9,1.0,1.0,1.0,12.0,1.0,1.4,6.38,6.05,5.37,5.7,5.36,2.6,3.59,2.55,874000000.0,949000000.0,1998000000.0,3227075700.0,306.83,294.89,513.45,721.58,314.8,301.8,258.0,240.6,-9.3658524,5.7499721,24.06,3
75,Libya,89.5,1.0,2.7,1.0,1.0,1.0,96.6,1.0,1.0,0.06,0.08,0.1,0.03,1.54,1.54,1.03,0.88,38270206950.41,47334148578.42,75380170508.37,48717854039.97,7142.77,8163.01,12162.67,7590.44,147.5,138.1,128.0,146.9,18.1236723,26.8234472,14.69,2
76,Lithuania,99.7,1.0,89.8,1.0,1.0,1.0,1.0,1.0,10.0,13.36,16.1,15.25,15.38,-0.7,-1.63,-2.1,-0.94,11524776866.64,26097677571.84,37128694028.24,41435533340.39,3293.23,7854.77,11987.51,14263.96,200.0,227.7,188.5,165.4,23.7499997,55.3500003,16.54,2
77,Luxembourg,100.0,1.0,70.4,1.0,1.0,1.0,2.3,1.0,26.8,14.32,13.58,12.98,13.18,1.34,1.53,1.83,2.36,21230182989.3,37672280120.48,56213985987.42,60071584216.14,48659.6,80988.14,110885.99,105462.01,89.95,81.14,66.83,51.89,6.1296751,49.8158683,5.19,1
78,Madagascar,64.5,1.0,85.3,4.5,1.0,1.0,3.0,1.0,6.9,2.11,1.53,1.87,1.88,3.12,2.95,2.79,2.69,4629247090.98,5859269849.15,9982711338.12,11323020828.58,293.61,319.54,471.96,467.24,282.8,265.2,247.5,220.1,46.4416422,-18.9249604,22.01,3
79,Malawi,74.8,1.0,82.7,1.7,1.0,1.0,13.0,1.0,2.5,2.42,2.87,3.21,3.62,2.68,2.6,2.87,2.76,1743506531.33,3655909664.14,6959655570.89,6373212640.85,156.39,289.56,478.67,380.6,535.2,535.4,366.3,266.4,33.9301963,-13.2687204,26.64,3
80,Malaysia,93.1,17.7,9.4,2.3,6.0,1.0,63.7,1.0,1.0,1.53,1.28,1.32,0.85,2.32,1.97,1.69,1.34,93789736842.11,143534102611.5,255016609232.87,301354803994.37,4043.66,5587.02,9040.57,9955.24,145.1,138.1,131.5,125.6,102.2656823,4.5693754,12.56,2
81,Maldives,98.4,1.0,1.0,1.0,1.0,1.0,98.4,1.0,1.0,2.04,1.52,1.65,2.07,2.12,2.64,3.43,4.47,624337145.28,1163362437.5,2588176054.69,4109424799.72,2234.6,3640.01,7076.74,9033.41,142.2,92.79,71.1,54.04,73.2244152,3.7203503,5.4,1
82,Mali,33.4,1.0,2.4,2.7,1.0,1.0,94.4,1.0,1.0,1.15,1.05,1.09,1.25,2.81,3.23,3.16,2.94,2961484953.73,6247515892.3,10689168011.44,13104764378.71,270.54,489.02,710.27,751.47,335.0,302.4,282.8,277.5,-2.2900239,16.3700359,27.75,3
83,Malta,92.4,1.0,97.0,1.0,1.0,1.0,1.0,1.0,2.5,5.72,6.65,6.58,7.56,0.65,0.64,0.49,2.39,4069515579.07,6416184181.07,9035932122.5,11091434483.52,10432.33,15888.17,21799.17,24921.6,69.51,62.73,58.29,55.18,14.4476911,35.8885993,5.52,1
84,Mauritania,58.6,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,0.2,0.13,0.09,0.03,2.64,2.85,2.93,2.89,1779523344.34,2936019525.6,5628878865.99,6166863960.0,676.57,970.84,1610.92,1524.07,229.0,223.9,212.7,204.0,-9.2399263,20.2540382,20.4,3
85,Mauritius,88.8,1.0,32.7,1.0,48.5,1.0,17.3,1.0,1.0,5.49,5.0,3.81,3.94,0.98,0.59,0.24,0.13,4663313620.02,6488750452.6,10003670690.35,11692287066.38,3929.08,5282.91,8000.38,9260.45,171.8,163.8,162.0,147.8,57.5703566,-20.2759451,14.78,2
86,Mexico,93.5,1.0,95.1,1.0,1.0,1.0,1.0,1.0,4.7,6.43,6.48,5.21,4.92,1.44,1.42,1.44,1.24,707906744574.64,877476221382.1,1057801295584.05,1171867608197.72,7157.81,8277.67,9271.4,9616.65,138.5,133.6,135.6,128.4,-102.0077097,23.6585116,12.84,2
87,Mongolia,97.4,55.1,2.3,3.5,1.0,1.0,3.2,1.0,35.9,3.11,5.28,9.65,10.97,0.89,1.2,1.71,1.96,1136896123.61,2523471532.01,7189481824.07,11619892396.08,474.22,998.83,2643.29,3875.32,273.1,257.7,233.8,212.9,103.8499736,46.8250388,21.29,3
88,Morocco,67.1,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.01,0.96,0.9,0.7,1.18,1.12,1.29,1.37,38857251336.34,62343022650.87,93216746661.6,101179808076.36,1334.94,2018.03,2839.93,2875.26,158.6,116.4,81.99,70.15,-7.3362482,31.1728205,7.02,1
89,Mozambique,56.1,1.0,56.7,7.4,1.0,1.0,18.0,1.0,17.9,2.33,1.3,1.63,2.19,2.68,2.89,2.74,2.83,5656473652.41,8542070109.71,11104649065.16,15950979333.16,319.36,416.81,471.9,589.86,428.3,452.5,408.9,358.7,34.9144977,-19.302233,35.87,3
90,Namibia,88.8,1.0,97.5,1.0,1.0,1.0,1.0,1.0,1.9,3.26,2.7,1.99,5.23,1.73,1.59,1.8,1.81,3922247989.86,7248394160.36,11431334447.43,11335179562.02,2185.6,3739.53,5395.0,4896.62,428.0,496.7,327.6,295.8,17.3231107,-23.2335499,29.58,3
91,Nepal,57.4,10.3,1.0,3.7,80.7,1.0,4.6,1.0,1.0,1.12,1.95,1.94,2.05,1.82,1.27,0.48,0.4,5494252207.91,8130258041.47,16002656434.47,24360795410.64,229.49,315.81,592.4,901.75,240.8,210.4,178.0,166.2,84.0917139,28.1083929,16.62,2
92,Netherlands,99.0,1.0,50.6,1.0,1.0,1.0,6.0,1.0,42.1,11.08,10.71,10.21,9.55,0.71,0.23,0.51,0.44,417479337444.71,685348181515.95,847380859016.67,765572770634.38,26214.5,41994.71,50999.75,45193.4,83.48,71.98,64.33,58.32,5.6343227,52.2434979,5.83,1
93,New Zealand,99.0,1.6,57.0,1.0,2.1,1.0,1.2,1.0,36.6,10.42,10.92,11.32,10.44,0.59,1.13,1.11,2.04,52623281956.7,114720129550.1,146517541181.25,178064471137.92,13641.1,27751.07,33676.77,38630.73,86.12,77.39,70.84,66.68,172.8344077,-41.5000831,6.67,1
94,Nicaragua,78.0,1.0,85.8,1.4,1.0,1.0,1.0,1.0,12.5,5.05,5.3,4.79,5.03,1.56,1.37,1.36,1.3,5107329007.09,6321335612.22,8758639096.48,12756706583.31,1007.5,1162.29,1503.87,2049.85,196.9,179.1,160.1,147.9,-85.2936911,12.6090157,14.79,2
95,Niger,28.7,1.0,1.0,1.0,1.0,1.0,98.4,1.0,1.0,0.23,0.25,0.31,0.55,3.61,3.73,3.84,3.88,2241753120.21,4383315656.99,7851191899.34,9683867893.68,197.83,321.72,476.87,484.15,292.7,284.8,269.0,257.0,9.3238432,17.7356214,25.7,3
96,Nigeria,61.3,1.0,49.3,1.4,1.0,1.0,48.8,1.0,1.0,12.5,12.51,11.72,10.81,2.5,2.59,2.67,2.65,69448756932.58,176134087150.34,361456622215.72,486803295097.89,567.93,1268.38,2280.44,2687.48,407.5,402.3,377.6,355.4,7.9999721,9.6000359,35.54,3
97,Norway,100.0,1.0,84.7,1.0,1.0,1.0,3.7,1.0,10.1,7.95,8.87,8.94,7.52,0.65,0.68,1.25,1.0,171247131268.6,308884284051.22,428757038466.84,385801550067.17,38131.46,66810.48,87693.79,74355.52,84.35,71.89,65.04,53.66,9.0999715,60.5000209,5.37,1
98,Oman,86.9,1.0,6.5,1.0,5.5,1.0,85.9,1.0,1.0,6.56,1.56,0.73,0.77,0.58,2.65,5.59,5.79,19507452535.76,31081991677.5,64993498049.41,78710793237.97,8601.27,12377.08,21369.35,18444.93,138.6,118.4,106.8,97.97,57.0036901,21.0000287,9.8,1
99,Pakistan,54.9,1.0,1.6,1.0,1.9,1.0,96.4,1.0,1.0,0.08,0.16,0.19,0.29,2.65,2.3,2.2,2.09,82017743416.28,120055291992.94,177165635077.06,270556131701.17,576.2,748.92,987.41,1356.67,189.8,199.6,175.3,166.0,71.247499,30.3308401,16.6,2
100,Panama,94.1,1.0,93.0,1.0,1.0,1.0,1.0,1.0,4.8,5.48,5.49,6.84,7.71,1.97,1.84,1.76,1.71,12304115000.0,16374393900.0,29440287600.0,54091713800.0,4060.32,4916.91,8082.02,13630.3,119.6,116.0,117.0,111.9,-81.1308434,8.559559,11.19,2
101,Papua New Guinea,62.4,1.0,99.0,1.0,1.0,1.0,1.0,1.0,1.0,1.79,1.6,1.67,1.39,2.27,2.19,2.29,2.01,3521339699.07,4865892972.28,14250755231.13,21723531173.24,602.19,749.19,1949.35,2679.35,275.6,254.2,234.7,225.5,144.2489081,-5.6816069,22.55,3
102,Paraguay,93.9,1.0,96.9,1.7,1.0,1.0,1.0,1.0,1.1,6.38,6.66,7.58,7.26,2.03,1.62,1.35,1.34,8855705139.56,10737500188.11,27129301212.18,36211372702.81,1663.6,1843.63,4342.07,5413.78,171.5,163.5,151.7,145.8,-58.1693445,-23.3165935,14.58,2
103,Peru,89.6,1.0,95.5,1.0,1.0,1.0,1.0,1.0,3.0,6.54,6.99,7.69,6.63,1.45,0.87,0.81,1.26,51744749133.21,76060606060.61,147528937028.78,189805300841.6,1955.59,2729.5,5082.35,6229.1,154.8,143.0,132.2,125.5,-75.0458515,-6.8699697,12.55,2
104,Philippines,95.4,1.0,92.6,1.5,1.0,1.0,5.5,1.0,1.0,6.06,5.67,6.98,6.7,2.16,1.89,1.67,1.58,83669693589.15,107419961717.69,208368726861.41,306446140628.71,1072.8,1244.35,2217.47,3001.04,212.9,216.9,203.1,195.0,122.7312101,12.7503486,19.5,2
105,Poland,99.7,1.0,94.3,1.0,1.0,1.0,1.0,1.0,5.6,9.17,10.6,11.21,11.63,-1.04,-0.04,-0.29,-0.07,172219461126.07,306144336269.51,479834179020.33,477811911394.08,4501.45,8021.51,12613.01,12578.5,152.2,143.6,131.2,114.8,19.134422,52.215933,11.48,2
106,Portugal,95.4,1.0,91.9,1.0,1.0,1.0,1.0,1.0,7.5,14.08,13.37,12.51,11.88,0.7,0.19,0.05,-0.41,118605192877.39,197253876704.92,238113003233.28,199394066525.44,11526.37,18780.13,22520.64,19250.11,109.6,97.15,86.04,76.52,-7.8896263,40.0332629,7.65,1
107,Qatar,96.3,3.1,13.8,1.0,13.8,1.0,67.7,1.0,1.0,1.15,1.67,1.69,1.62,3.78,13.87,11.48,4.24,17759890109.89,44530494505.49,125122306346.15,161739955577.75,29976.17,51455.95,67403.09,63039.11,73.9,67.09,65.15,62.81,51.2295295,25.3336984,6.28,1
108,Romania,97.7,1.0,99.0,1.0,1.0,1.0,1.0,1.0,1.0,17.45,15.84,13.97,11.64,-0.13,-0.62,-0.59,-0.47,37253259017.0,98452791982.7,166309355234.59,177729210874.5,1659.91,4617.93,8214.08,8969.15,175.0,162.3,154.7,135.9,24.6859225,45.9852129,13.59,2
109,Rwanda,71.1,1.0,93.4,1.0,1.0,1.0,1.8,1.0,3.6,13.73,13.0,10.27,9.26,5.6,1.82,2.59,2.54,2067579822.44,2932340855.32,6121529488.49,8539424910.08,260.61,331.7,609.75,751.11,450.9,366.1,239.1,203.2,30.0644358,-1.9646631,20.32,3
110,Samoa,98.8,1.0,96.8,1.0,1.0,1.0,1.0,1.0,2.5,3.79,4.2,2.97,2.59,0.49,0.63,0.75,0.67,258856138.71,476801791.15,663161528.41,788307314.85,1483.81,2653.0,3566.46,4073.73,180.3,157.1,133.8,112.6,-172.12005,-13.7693895,11.26,2
111,Saudi Arabia,87.2,1.0,4.4,1.0,1.1,1.0,93.0,1.0,1.0,0.18,0.17,0.17,0.2,2.3,2.91,2.93,2.56,189514926213.33,328459700114.76,528207332649.54,654269739552.02,9171.33,13791.45,19262.55,20627.92,111.5,103.8,97.12,90.5,42.3528328,25.6242618,9.05,1
112,Senegal,49.7,1.0,3.6,1.0,1.0,1.0,96.4,1.0,1.0,0.96,0.85,0.6,0.73,2.37,2.56,2.74,2.81,6013184809.24,11009032665.39,16121314670.97,17774766636.05,613.73,992.69,1271.58,1219.25,250.4,244.2,209.2,188.9,-14.4529612,14.4750607,18.89,2
113,Seychelles,91.8,1.0,94.0,1.0,2.1,1.0,1.1,1.0,2.1,7.62,6.13,10.19,18.35,0.89,0.46,2.79,2.23,614879764.78,919103254.55,969940010.25,1415998663.05,7578.85,11092.51,10804.72,15157.5,188.5,185.2,180.6,165.6,55.4540146,-4.6574977,16.56,2
114,Sierra Leone,43.3,1.0,20.9,1.0,1.0,1.0,78.0,1.0,1.0,5.8,5.57,5.83,5.63,2.7,3.82,2.25,2.18,635874002.2,1650494367.0,2578026297.16,4218723875.14,138.7,292.35,401.83,588.23,533.5,482.0,414.6,403.7,-11.8400269,8.6400349,40.37,3
115,Singapore,95.9,33.9,18.2,2.3,5.2,1.0,14.3,9.7,16.4,2.49,1.78,2.19,2.07,1.73,2.35,1.77,1.19,96074477958.24,127807618360.97,239809387605.43,308004146057.61,23852.33,29961.26,47236.96,55646.62,79.08,74.23,60.01,53.56,103.8194992,1.357107,5.36,1
116,Slovenia,99.7,1.0,78.4,1.0,1.0,1.0,3.6,1.0,18.0,12.6,12.3,11.54,12.74,0.3,0.17,0.44,0.08,20289627636.68,36206395970.65,48208240226.45,43107506024.33,10201.3,18098.91,23532.48,20890.17,121.9,104.2,87.21,74.18,14.4808369,45.8133113,7.42,1
117,Solomon Islands,84.1,1.0,97.4,1.3,1.0,1.0,1.0,1.0,1.0,1.2,1.6,1.6,1.55,2.72,2.45,2.43,2.7,419845231.78,476836691.06,846767635.94,1307082934.29,1017.4,1014.72,1604.15,2167.16,231.7,198.6,170.3,148.8,159.1070693851845,-8.7053941,14.88,2
118,South Africa,93.0,1.0,81.2,1.0,1.1,1.0,1.7,1.0,14.9,10.02,9.58,10.04,9.61,1.41,1.24,1.46,1.53,151753369491.92,288868489078.99,417365076968.26,346709790458.56,3374.72,6033.1,8148.96,6259.84,361.8,473.6,416.3,304.6,24.991639,-28.8166236,30.46,3
119,Spain,97.7,1.0,78.6,1.0,1.0,1.0,2.1,1.0,19.0,12.43,12.83,10.03,11.32,0.45,1.69,0.46,-0.08,598363313494.9,1153715822717.51,1422108199783.34,1195599995808.59,14749.69,26429.15,30532.48,25742.37,84.5,76.22,64.63,57.71,-4.8379791,39.3260685,5.77,1
120,Sri Lanka,91.2,69.3,7.3,1.0,13.6,1.0,9.8,1.0,1.0,2.22,2.59,3.92,4.1,0.61,0.81,0.68,0.92,16330814179.98,24405791044.78,56725749221.9,80604080688.58,869.7,1248.7,2799.65,3843.78,170.7,138.6,131.2,131.1,80.7137847,7.5554942,13.11,2
121,Suriname,94.7,1.0,51.6,5.3,19.8,1.0,15.2,1.8,5.4,5.29,5.41,6.22,5.81,1.19,1.16,1.14,1.05,947671969.7,1793388732.29,4368398047.64,5126291450.82,2012.28,3590.65,8255.87,9168.24,221.5,206.9,194.1,182.4,-56.0771187,4.1413025,18.24,2
122,Sweden,99.0,1.0,67.2,1.0,1.0,1.0,4.6,1.0,27.0,8.53,8.64,9.49,9.13,0.16,0.4,0.85,1.06,262835454366.86,392218088878.78,495812558843.31,505103781349.76,29624.91,43437.06,52869.04,51545.48,71.99,65.87,57.87,53.96,14.5208584,59.6749712,5.4,1
123,Switzerland,99.0,1.0,72.7,1.0,1.0,1.0,4.9,1.0,20.9,12.49,11.64,11.41,11.58,0.56,0.64,1.04,1.14,279841151705.35,420544947799.55,603434493402.68,702149580770.9,38952.03,56546.79,77117.13,84776.14,77.55,65.69,57.03,49.61,8.2319736,46.7985624,4.96,1
124,Tajikistan,99.7,1.0,1.6,1.0,1.0,1.0,96.7,1.0,1.5,2.97,2.51,2.4,3.11,1.57,1.89,2.18,2.41,860521119.3,2312327536.42,5642178579.58,8271454300.6,138.43,340.58,749.55,978.4,170.1,155.1,135.4,124.9,70.8156541,38.6281733,12.49,2
125,Thailand,93.5,93.2,1.0,1.0,1.0,1.0,5.5,1.0,1.0,6.49,6.81,7.71,8.36,1.04,0.65,0.49,0.4,126392233706.79,189318549680.38,341104820155.46,401296437425.0,2007.74,2894.06,5076.34,5840.05,203.6,182.6,161.2,149.0,100.83273,14.8971921,14.9,2
126,Togo,60.4,1.0,43.7,35.6,1.0,1.0,14.0,1.0,6.2,1.79,3.26,2.11,2.37,2.97,2.6,2.7,2.56,1491891107.96,2281482855.47,3429461495.41,4180866177.04,302.96,406.56,534.04,570.91,321.6,341.3,306.4,271.0,1.0199765,8.7800265,27.1,3
127,Tonga,99.0,1.0,98.9,1.0,1.0,1.0,1.0,1.0,1.0,1.7,2.32,1.39,0.68,0.5,0.69,0.08,-0.24,204849612.59,261797606.15,366840012.44,437006227.16,2091.11,2594.42,3527.95,4336.24,158.3,149.5,142.1,134.8,-175.202642,-19.9160819,13.48,2
128,Trinidad and Tobago,98.8,1.0,65.9,1.9,22.7,1.0,5.9,1.4,1.9,5.27,6.17,6.21,6.88,0.26,0.49,0.55,0.59,8154338232.96,15982282462.38,22157948396.2,25191551350.42,6435.13,12327.28,16683.39,18383.54,202.0,194.9,178.6,172.9,-61.0840075,10.7466905,17.29,2
129,Tunisia,79.1,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.36,1.46,1.4,1.99,0.98,0.84,1.04,1.05,21473261837.02,32273007553.57,46206091937.96,45780128466.56,2211.84,3193.2,4344.62,4094.84,111.5,104.5,99.43,92.85,9.400138,33.8439408,9.28,1
130,Turkmenistan,99.6,1.0,6.4,1.0,1.0,1.0,93.0,1.0,1.0,4.82,4.88,4.82,5.3,1.11,1.08,1.57,1.79,2904662604.82,8103901996.37,22583157894.74,35799714285.71,643.18,1704.42,4439.2,6432.69,214.8,233.8,188.4,198.2,59.3924609,39.3763807,19.82,2
131,Uganda,73.2,1.0,86.7,1.0,1.0,1.0,11.5,1.0,1.0,13.61,12.92,13.5,15.14,2.99,3.17,3.19,3.5,6193246837.1,9239221858.56,26673441667.28,32387183844.67,261.87,333.73,822.54,847.27,536.2,448.1,364.3,293.0,32.2166578,1.5333554,29.3,3
132,Ukraine,99.7,1.0,83.8,1.0,1.0,1.0,1.2,1.0,14.7,12.46,12.01,13.57,10.16,-1.01,-0.73,-0.4,-0.26,32375280320.58,89239370109.47,141209864408.49,91030959454.7,658.35,1894.47,3078.43,2124.66,257.5,280.0,217.5,187.7,31.2718321,49.4871968,18.77,2
133,United Arab Emirates,90.0,2.0,12.6,1.0,6.6,1.0,76.9,1.0,1.1,2.58,3.64,3.15,3.79,5.51,12.02,7.69,0.53,104337372362.15,180617467964.6,289787452661.51,358134944420.5,33291.37,39365.46,33893.28,38663.39,106.9,91.04,81.49,75.04,53.9994829,24.0002488,7.5,1
134,Uruguay,98.1,1.0,57.9,1.0,1.0,1.0,1.0,1.0,40.7,8.09,7.46,7.1,6.99,0.35,0.01,0.29,0.34,22823255801.84,17362857683.85,40284481651.9,53274304222.14,6875.03,5226.94,11992.02,15613.75,134.2,124.7,117.9,114.2,-56.0201525,-32.8755548,11.42,2
135,Uzbekistan,99.4,1.0,2.3,1.0,1.0,1.0,96.7,1.0,1.0,5.68,4.15,3.01,2.59,1.38,1.16,2.82,1.74,13760513969.31,14307509838.81,49765676402.45,86196265191.66,558.23,546.78,1742.35,2753.97,182.8,183.2,144.9,133.5,63.9528098,41.32373,13.35,2
136,Vanuatu,83.2,1.0,93.3,4.1,1.0,1.0,1.0,1.4,1.2,1.17,1.2,1.7,2.14,2.02,2.5,2.56,2.71,272014693.05,394962552.34,670713208.08,730870581.67,1470.64,1887.23,2839.41,2695.67,184.3,163.8,145.7,131.6,168.1069154,-16.5255069,13.16,2
137,Zambia,61.4,1.0,97.6,1.0,1.0,1.0,1.0,1.0,1.0,4.05,3.9,5.43,6.89,2.68,2.61,2.91,3.07,3600683039.73,8331870169.15,20265559483.85,21251216798.78,345.69,702.74,1489.46,1338.29,594.2,556.3,363.6,294.6,27.5589884,-14.5189121,29.46,3
138,Zimbabwe,83.6,1.0,87.0,3.8,1.0,1.0,1.0,1.0,7.9,2.46,2.77,3.93,4.92,0.5,0.47,1.35,1.66,6689957600.0,5755215200.0,12041655200.0,19963120600.0,563.06,476.56,948.33,1445.07,675.3,681.1,500.4,345.5,29.7468414,-18.4554963,34.55,3
