,Country,Literacy_Rate,Buddhists,Christians,Folk_Religions,Hindus,Jews,Muslims,Other_Religions,Unaffiliated,alcohol_rate_2000,alcohol_rate_2005,alcohol_rate_2010,alcohol_rate_2015,pg_2000,pg_2005,pg_2010,pg_2015,gdp_2000,gpd_2005,gpd_2010,gpd_2015,gdp_per_capita_2000,gdp_per_capita_2005,gdp_per_capita_2010,gdp_per_capita_2015,mortality_rate_2000,mortality_rate_2005,mortality_rate_2010,mortality_rate_2015,Longitude,Latitude,mortality_rate,mortality_state
18,Brazil,90.4,1.0,88.9,2.8,1.0,1.0,1.0,1.0,7.9,8.78,8.32,8.49,7.86,1.42,1.15,0.94,0.84,655448188259.35,891633826603.38,2208838108577.09,1802211999538.68,3749.91,4790.46,11286.07,8813.99,183.8,162.2,154.3,144.5,-53.2,-10.3333333,14.45,2
19,Bulgaria,98.4,1.0,82.1,1.0,1.0,1.0,13.7,1.0,4.2,11.8,11.42,11.32,12.34,-0.49,-0.75,-0.66,-0.64,13245833843.55,29869283400.04,50682061053.2,50781996712.76,1621.24,3899.91,6853.0,7074.68,162.7,156.4,143.4,136.2,25.4856617,42.6073975,13.62,2
20,Burkina Faso,28.7,1.0,22.5,15.4,1.0,1.0,61.6,1.0,1.0,8.4,9.19,8.58,11.83,2.84,2.96,3.02,2.94,2968369991.47,6146352742.03,10109618964.28,11832159275.6,255.72,457.93,647.84,653.33,341.8,313.5,277.2,259.6,-1.6880314,12.0753083,25.96,3
21,Burundi,67.2,1.0,91.5,5.7,1.0,1.0,2.8,1.0,1.0,9.82,8.44,7.66,7.03,1.77,3.22,3.26,3.16,870486065.88,1117113045.65,2032135246.5,3104003611.43,136.46,151.68,234.24,305.51,370.0,357.1,322.7,296.1,29.9324519,-3.426449,29.61,3
22,Cambodia,73.9,96.9,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.87,2.69,4.91,6.37,2.24,1.57,1.54,1.6,3654031716.27,6293046161.83,11242275198.98,18049954289.42,300.61,474.11,785.5,1162.9,279.7,249.4,196.3,174.3,104.8144914,12.5433216,17.43,2
23,Cameroon,71.3,1.0,70.3,3.3,1.0,1.0,18.3,2.7,5.3,6.69,7.62,8.43,6.17,2.62,2.71,2.75,2.68,10566578952.79,19509850837.27,27507499709.07,32210232911.66,681.1,1100.17,1352.3,1382.51,412.3,388.9,354.8,355.0,13.1535811,4.6125522,35.5,3
24,Central African Republic,56.6,1.0,89.5,1.0,1.0,1.0,8.5,1.0,1.0,3.68,3.62,3.98,2.43,2.29,1.96,1.13,0.65,916777282.65,1337894379.63,2142591375.85,1695825708.46,251.83,331.29,488.42,377.42,531.5,539.4,458.0,418.2,19.9981227,7.0323598,41.82,3
25,Chad,35.4,1.0,40.6,1.4,1.0,1.0,55.3,1.0,2.5,4.34,4.62,6.58,1.45,3.68,3.65,3.33,3.22,1388506726.62,6649307057.03,10668102734.81,10950392219.91,166.18,658.57,892.57,776.02,412.9,412.4,373.4,367.0,19.0156172,15.6134137,36.7,3
26,Chile,98.6,1.0,89.4,1.5,1.0,1.0,1.0,1.0,8.6,7.74,8.93,9.31,9.26,1.18,1.04,1.04,1.18,78249883995.63,122314960843.92,217105420016.53,242496649874.24,5100.25,7558.37,12724.1,13495.01,102.8,94.64,93.63,88.14,-71.3187697,-31.7613365,8.81,1
27,China,95.1,18.2,5.1,21.9,1.0,1.0,1.8,1.0,52.2,3.81,4.02,7.07,7.15,0.79,0.59,0.48,0.58,1211346869600.41,2285965892364.2,6087163874510.73,11061553079871.5,959.37,1753.42,4550.45,8016.43,110.3,95.05,87.96,81.52,104.999927,35.000074,8.15,1
28,Colombia,93.6,1.0,92.5,1.0,1.0,1.0,1.0,1.0,6.6,5.58,5.41,5.04,5.78,1.6,1.35,1.05,1.17,99886577330.73,145619191582.06,286563105192.46,293481748240.78,2520.48,3414.47,6336.71,6175.88,171.4,144.3,145.6,138.1,-72.9088133,4.099917,13.81,2
29,Comoros,75.5,1.0,1.0,1.0,1.0,1.0,98.3,1.0,1.0,0.19,0.44,0.25,0.88,2.52,2.38,2.41,2.35,351136568.44,653845122.87,907978723.55,966029542.04,647.43,1069.03,1316.49,1242.59,272.1,265.8,245.4,227.3,44.2832964,-12.2045176,22.73,3
30,Costa Rica,96.3,1.0,90.9,1.0,1.0,1.0,1.0,1.0,7.9,5.55,5.42,4.8,4.76,1.96,1.42,1.24,1.09,15013629658.65,20040642476.98,37658614803.28,56441917652.98,3789.05,4676.38,8227.13,11642.78,99.88,95.5,106.5,97.17,-84.0739102,10.2735633,9.72,1
31,Croatia,98.9,1.0,93.4,1.0,1.0,1.0,1.4,1.0,5.1,12.45,10.31,10.08,9.07,-0.99,0.13,-0.23,-0.82,21839780971.03,45780237257.19,60426018629.3,50163192883.15,4887.71,10621.51,14067.52,11933.38,133.0,116.3,105.7,95.58,17.0118954,45.5643442,9.56,1
32,Cuba,99.8,1.0,59.2,17.4,1.0,1.0,1.0,1.0,23.0,4.98,5.36,5.02,5.67,0.38,0.1,-0.01,0.16,30565400000.0,42643836100.0,59562962962.96,87133000000.0,2747.1,3786.66,5305.88,7694.01,121.1,109.7,97.35,94.34,-80.8328748,23.0131338,9.43,1
33,Cyprus,98.7,1.0,73.2,1.0,1.0,1.0,25.3,1.0,1.2,10.86,12.43,11.35,10.76,1.84,1.69,1.31,0.75,9985844486.33,18433411267.26,25732432719.08,19842404304.89,14388.35,24959.26,31023.64,23408.34,79.54,75.01,65.01,56.64,33.1451285,34.9823018,5.66,1
34,Denmark,99.0,1.0,83.5,1.0,1.0,1.0,4.1,1.0,11.8,12.67,12.29,11.0,10.36,0.33,0.28,0.44,0.71,164158739097.62,264467336457.17,321995279401.5,302673070846.86,30743.55,48799.83,58041.4,53254.86,99.82,89.49,82.55,66.27,10.3333283,55.670249,6.63,1
35,Djibouti,67.9,1.0,2.3,1.0,1.0,1.0,96.9,1.0,1.0,1.62,1.28,0.67,0.49,2.48,1.5,1.48,1.69,551230861.86,708633194.73,1128611700.36,2424391785.44,768.18,904.74,1343.28,2652.51,322.2,314.1,271.3,247.6,42.8453061,11.8145966,24.76,3
36,Dominican Republic,90.1,1.0,88.0,1.0,1.0,1.0,1.0,1.0,10.9,7.19,6.15,6.11,6.61,1.52,1.36,1.23,1.14,24305717541.64,35777570135.52,53860175556.0,71164825256.68,2869.18,3932.78,5555.39,6921.52,212.4,212.5,179.7,163.1,-70.3028026,19.0974031,16.31,2
37,Ecuador,91.6,1.0,94.1,1.0,1.0,1.0,1.0,1.0,5.5,5.96,5.81,6.16,4.98,1.9,1.67,1.59,1.62,18327764882.44,41507085000.0,69555367000.0,99290381000.0,1445.28,3002.14,4633.59,6124.49,159.6,148.8,134.1,117.0,-79.3666965,-1.3397668,11.7,2
38,El Salvador,84.5,1.0,88.2,1.0,1.0,1.0,1.0,1.0,11.0,3.86,3.8,3.31,3.59,0.73,0.47,0.42,0.48,11784927700.0,14698000000.0,18447920000.0,23438240000.0,2001.54,2428.57,2983.23,3705.58,218.0,206.4,192.0,179.5,-88.9140683,13.8000382,17.95,2
39,Equatorial Guinea,94.2,1.0,88.7,1.7,1.0,1.0,4.0,1.0,5.0,7.45,8.91,9.2,9.08,4.11,4.44,4.56,4.04,1045998496.44,8217369092.65,16314442183.35,13185496836.41,1725.56,10963.41,17288.84,11283.4,359.4,360.5,334.7,300.9,10.5170357,1.613172,30.09,3
40,Estonia,99.8,1.0,39.9,1.0,1.0,1.0,1.0,1.0,59.6,9.57,15.65,12.39,12.39,0.48,-0.57,-0.23,0.07,5686579747.54,14106790200.22,19523477325.62,22890762090.15,4070.61,10412.64,14663.04,17402.04,215.7,187.3,134.5,115.8,25.3319078,58.7523778,11.58,2
41,Ethiopia,39.0,1.0,62.8,2.6,1.0,1.0,34.6,1.0,1.0,1.76,2.05,2.5,2.19,2.88,2.8,2.78,2.76,8242392103.68,12401139453.97,29933790334.34,64589334978.8,124.46,162.43,341.55,640.54,406.3,358.0,261.9,224.7,38.6521203,10.2116702,22.47,3
42,Fiji,93.7,1.0,64.4,1.0,27.9,1.0,6.3,1.0,1.0,3.24,2.78,3.0,3.33,0.58,0.46,0.72,0.25,1678239218.27,2980484920.17,3140508835.95,4682546863.08,2069.32,3627.63,3652.54,5390.71,221.6,214.5,199.9,188.1,179.0122737,-18.1239696,18.81,2
43,Finland,100.0,1.0,80.1,1.0,1.0,1.0,1.0,1.0,19.1,11.69,13.11,12.59,11.18,0.21,0.34,0.46,0.33,126019543413.33,204885494686.38,249424310816.67,234534382384.77,24345.91,39054.85,46505.3,42801.91,104.2,99.97,87.86,69.52,25.9209164,63.2467777,6.95,1
44,France,99.0,1.0,63.0,1.0,1.0,1.0,7.5,1.0,28.0,14.08,13.09,12.4,12.64,0.68,0.75,0.49,0.36,1365639660792.16,2196945232435.8,2645187882116.67,2439188643162.5,22419.69,34773.15,40677.99,36652.92,99.17,91.55,85.28,73.08,1.8883335,46.603354,7.31,1
45,Gabon,89.0,1.0,76.5,6.0,1.0,1.0,11.2,1.0,5.6,10.59,9.36,9.89,9.57,2.41,2.68,3.46,3.34,5080483464.0,9582783318.39,14372591916.48,14383107714.04,4135.99,6891.36,8849.32,7384.7,316.9,326.2,288.3,228.2,11.6899699,-0.8999695,22.82,3
46,Georgia,99.7,1.0,88.5,1.0,1.0,1.0,10.7,1.0,1.0,4.41,6.39,9.67,9.61,-1.94,-0.64,-0.73,0.16,3057475335.19,6410823633.25,12243505582.67,14953950557.44,749.91,1642.76,3233.3,4014.19,128.5,144.5,156.8,156.4,42.3154,43.3569,15.64,2
47,Germany,99.0,1.0,68.7,1.0,1.0,1.0,5.8,1.0,24.7,14.16,13.28,12.64,13.06,0.14,-0.06,-0.15,0.87,1947981991011.77,2846864211175.1,3399667820000.01,3357585719351.56,23694.76,34520.24,41572.46,41103.26,95.18,84.32,77.52,71.19,10.4478313,51.1638175,7.12,1
48,Ghana,71.5,1.0,74.9,4.9,1.0,1.0,15.8,1.0,4.2,5.3,3.77,4.26,3.12,2.45,2.52,2.49,2.27,4983024408.15,10744675209.9,32197272797.2,49406568432.67,258.47,492.54,1299.35,1774.07,309.9,302.8,269.5,244.9,-1.0800271,8.0300284,24.49,3
49,Greece,97.3,1.0,88.1,1.0,1.0,1.0,5.3,1.0,6.1,10.18,10.73,9.67,10.49,0.41,0.29,0.13,-0.66,130457756628.44,247875422204.41,297124961971.5,195683527003.38,12072.93,22560.15,26716.65,18083.88,82.35,78.98,73.57,67.59,21.9877132,38.9953683,6.76,1
50,Grenada,96.0,1.0,96.6,1.3,1.0,1.0,1.0,1.0,1.0,9.8,8.76,8.31,9.07,0.4,0.3,0.42,0.64,520044370.37,695555555.56,771013259.26,997007925.93,5056.98,6645.99,7258.17,9096.54,182.1,171.4,153.7,141.3,-61.6904045,12.1360374,14.13,2
